CO,Coot,Fulica atra
TA,Green-winged Teal,Anas crecca carolinensis
TB,Blue-winged Teal,Anas discors
TC,Treecreeper,Certhia familiaris
TD,Turtle Dove,Streptopelia turtur
TE,Sandwich Tern,Sterna sandvicensis
TF,Lesser Crested Tern,Sterna bengalensis
TH,Short-toed Treecreeper,Certhia brachydactyla
TI,Tawny Pipit,Anthus campestris
TK,Temminck's Stint,Calidris temminckii
TL,Leach's Petrel,Oceanodroma leucorhoa
TM,Storm Petrel,Hydrobates pelagicus
TN,Stone-curlew,Burhinus oedicnemus
TO,Tawny Owl,Strix aluco
TP,Tree Pipit,Anthus trivialis
TR,Terek Sandpiper,Xenus cinereus
TS,Tree Sparrow,Passer montanus
TT,Turnstone,Arenaria interpres
TU,Tufted Duck,Aythya fuligula
TW,Twite,Carduelis flavirostris
TY,Black Guillemot,Cepphus grylle
TZ,Brunnich's Guillemot,Uria lomvia
UD,Ruddy Shelduck,Tadorna ferruginea
UK,Great Spotted Cuckoo,Clamator glandarius
UP,Upland Sandpiper,Bartramia longicauda
UR,Purple Heron,Ardea purpurea
US,Great Bustard,Otis tarda
UY,Dusky Warbler,Phylloscopus fuscatus
VI,Savi's Warbler,Locustella luscinioides
VL,Short-toed Lark,Calandrella brachydactyla
VP,Red-throated Pipit,Anthus cervinus
VR,Red-rumped Swallow,Hirundo daurica
VS,Velvet Scoter,Melanitta fusca
VT,Varied Thrush,Zoothera naevia
VW,River Warbler,Locustella fluviatilis
W,Wheatear,Oenanthe oenanthe
WA,Water Rail,Rallus aquaticus
WB,White Wagtail,Motacilla alba alba
WC,Whinchat,Saxicola rubetra
WD,Whiskered Tern,Chlidonias hybridus
WE,White-tailed Eagle,Haliaeetus albicilla
WF,Wilson's Phalarope,Phalaropus tricolor
WG,White-fronted Goose,Anser albifrons
WH,Whitethroat,Sylvia communis
WI,Water Pipit,Anthus spinoletta
WJ,White-winged Black Tern,Chlidonias leucopterus
WK,Woodcock,Scolopax rusticola
WL,Wood Lark,Lullula arborea
WM,Whimbrel,Numenius phaeopus
WN,Wigeon,Anas penelope
WO,Wood Warbler,Phylloscopus sibilatrix
WP,Woodpigeon,Columba palumbus
WW,Willow Warbler,Phylloscopus trochilus
WX,Waxwing,Bombycilla garrulus
WY,Wryneck,Jynx torquilla
WZ,Whistling Swan,Cygnus columbianus columbianus
XC,Dark-throated Thrush,Turdus ruficollis
Y,Yellowhammer,Emberiza citrinella
YB,Yellow-browed Warbler,Phylloscopus inornatus
YF,Gyrfalcon,Falco rusticolus
YG,Yellow-legged Gull,Larus cachinnans michahellis
YT,Grey-tailed Tattler,Heteroscelus brevipes
YW,Yellow Wagtail,Motacilla flava flavissima
HD,Bar-headed Goose,Anser indicus
RW,Reed Warbler,Acrocephalus scirpaceus
CS,Common Sandpiper,Actitis hypoleucos
SI,Swift,Apus apus
UA,Australian Shelduck,Tadorna tadornoides
